text,first_piece,second_piece,label
Which trait do children most likely inherit from their parents?,Which trait do children most,likely inherit from their parents?,A
The Late Heavy Bombardment was a period of extensive comet impact on Earth about 3.8 billion years ago. Scientists believe this period provided much of the matter now found in which part of the Earth system?,The Late Heavy Bombardment was a period of extensive comet impact on Earth about 3.8 billion years ago.,Scientists believe this period provided much of the matter now found in which part of the Earth system?,D
Which action best models the motion of an arm at the elbow joint?,Which action best models the motion of an arm,at the elbow joint?,C
Rosaria discovered a type of structure she could not identify in a sample of pond water. Her teacher looked into her microscope and explained that they were zygotes produced by one of the protists in her sample. The zygotes belong to which protist?,Rosaria discovered a type of structure she could not identify in a sample of pond water.,Her teacher looked into her microscope and explained that they were zygotes produced by one of the protists in her sample. The zygotes belong to which protist?,D
"A scientist put several different plants in a sealed container. Every hour, she checked the oxygen in the container to see if it changed. How did the oxygen in the container most likely change?","A scientist put several different plants in a sealed container. Every hour, she checked the oxygen in the container to see if it changed.",How did the oxygen in the container most likely change?,A
"In Florida, both panthers and bobcats prey on white-tailed deer. How will their competition for food most likely be affected if white-tailed deer populations in Florida suddenly decreases?","In Florida, both panthers and bobcats prey on white-tailed deer.",How will their competition for food most likely be affected if white-tailed deer populations in Florida suddenly decreases?,A
Which of the following Earth layers has the greatest density?,Which of the following,Earth layers has the greatest density?,C
A handheld sewing machine uses a battery to make a needle move. The needle goes up and down quickly. Which energy change is taking place?,A handheld sewing machine uses a battery to make a needle move.,The needle goes up and down quickly. Which energy change is taking place?,B
The Ohio state tree is the buckeye. Which of these is a trait that is inherited by the buckeye tree in the reproduction process?,The Ohio state tree is the buckeye.,Which of these is a trait that is inherited by the buckeye tree in the reproduction process?,B
During which activity will light most likely be refracted?,During which activity will,light most likely be refracted?,C
