text,first_piece,second_piece,label
"High Turnout Reported for Ghana #39;s National Elections Vote counting has begun in Tuesday #39;s general election in Ghana, where President John Kufuor is widely expected to win re-election.","High Turnout Reported for Ghana #39;s National Elections Vote counting has begun in Tuesday #39;s general election in Ghana, where",President John Kufuor is widely expected to win re-election.,0
"Jones sues BALCO founder, denies steroid use Olympic athletics champion Marion Jones filed a defamation lawsuit yesterday against BALCO head Victor Conte, who told a US television audience that he gave her steroids and watched her inject herself with them.","Jones sues BALCO founder, denies steroid use Olympic athletics champion Marion Jones filed a defamation lawsuit yesterday against BALCO head Victor Conte, who told",a US television audience that he gave her steroids and watched her inject herself with them.,1
Thai queen urges nation to unite to end southern violence (AFP) AFP - Thailand's respected queen has made a rare public appeal for the nation to unite to end violence in the troubled Muslim-majority south where nearly 550 people have died this year.,Thai queen urges nation to unite to end southern violence (AFP) AFP - Thailand's respected queen has made,a rare public appeal for the nation to unite to end violence in the troubled Muslim-majority south where nearly 550 people have died this year.,0
"Did Google Bomb New Directories Online? Looks That Way! Did Google Bomb New Directories Online? Looks That Way!\\A few weeks have gone by now and the results from Googles new update are in. As we take a closer look we see a pattern emerging. It seems as though, older more established directories are being rewarded once again. Many newer ...",Did Google Bomb New Directories Online? Looks That Way! Did Google Bomb New Directories Online? Looks That Way!\\A few weeks have gone by now and the results from Googles new update are in.,"As we take a closer look we see a pattern emerging. It seems as though, older more established directories are being rewarded once again. Many newer ...",3
A War and a Mystery: Confronting Avian Flu A spate of recent deaths has stirred fears of a broader outbreak among people and raised the possibility of a human pandemic.,A War and a Mystery: Confronting Avian Flu A spate of recent deaths has stirred fears of,a broader outbreak among people and raised the possibility of a human pandemic.,3
Little change seen in Dec. 14 statement WASHINGTON (CBS.MW) - Every Federal Open Market Committee meeting contains a flavor of mystery as officials gather behind closed doors to hold crucial discussions about the economic forecast and to make decisions on interest rates.,Little change seen in Dec.,14 statement WASHINGTON (CBS.MW) - Every Federal Open Market Committee meeting contains a flavor of mystery as officials gather behind closed doors to hold crucial discussions about the economic forecast and to make decisions on interest rates.,2
Let the Handheld Games Begin It #39;s the fight computer gamers have been waiting for. But the latest duel between wise old master Nintendo and challenger Sony is not taking place on a TV screen.,Let the Handheld Games Begin It #39;s the fight computer gamers have been waiting for.,But the latest duel between wise old master Nintendo and challenger Sony is not taking place on a TV screen.,3
"Fed calls strategy on rates success WASHINGTON -- The unusual strategy adopted by the Federal Reserve in the summer of 2003 for stoking the US economy without cutting interest rates was a clear success, researchers at the US central bank have concluded in a new study.","Fed calls strategy on rates success WASHINGTON -- The unusual strategy adopted by the Federal Reserve in the summer of 2003 for stoking the US economy without cutting interest rates was a clear success, researchers at the US",central bank have concluded in a new study.,2
"Dollar Hovers Above Lows, No Respite Seen  TOKYO (Reuters) - The dollar hovered just above multi-month  lows on Tuesday as nagging worries about the strength of the  U.S. economy and the gaping trade deficit kept investors on the  back foot.","Dollar Hovers Above Lows, No Respite Seen  TOKYO (Reuters) - The dollar hovered just above multi-month  lows on Tuesday as nagging worries about the strength of the  U.S.",economy and the gaping trade deficit kept investors on the  back foot.,2
"Explosion in Chinese mine kills 56 AP - A gas explosion in a coal mine in China has killed at least 56 miners, and 92 others listed as missing had only a slim chance of survival, officials say.",Explosion in Chinese mine kills 56 AP - A gas explosion in a coal mine in,"China has killed at least 56 miners, and 92 others listed as missing had only a slim chance of survival, officials say.",0
